Fields,1 Adult - 0ÊChildren,1 Adult - 1ÊChild,1 Adult - 2ÊChildren,1 Adult - 3ÊChildren,2 Adults (1 W) - 0ÊChildren,2 Adults (1 W) - 1ÊChild,2 Adults (1 W)  - 2ÊChildren,2 Adults (1 W) - 3ÊChildren,2 Adults (Both W) - 0ÊChildren,2 Adults (Both W) - 1ÊChild,2 Adults (Both W) - 2ÊChildren,2 Adults (Both W) - 3ÊChildren,Counties 
Required annual income after taxes,"$35,800 ","$65,796 ","$84,847 ","$108,250 ","$51,899 ","$62,947 ","$72,897 ","$77,071 ","$51,899 ","$74,644 ","$95,665 ","$110,059 ",Otsego County
Annual taxes,"$6,517 ","$9,582 ","$12,341 ","$18,634 ","$7,989 ","$8,383 ","$8,499 ","$7,138 ","$7,989 ","$10,644 ","$12,867 ","$14,125 ",Otsego County
Required annual income before taxes,"$42,317 ","$75,378 ","$97,188 ","$126,884 ","$59,889 ","$71,330 ","$81,397 ","$84,209 ","$59,889 ","$85,288 ","$108,533 ","$124,184 ",Otsego County
Food,"$4,867 ","$7,174 ","$10,761 ","$14,303 ","$8,922 ","$11,106 ","$14,304 ","$17,440 ","$8,922 ","$11,106 ","$14,304 ","$17,440 ",Putnam County
Child Care,$0 ,"$19,037 ","$36,497 ","$54,351 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$19,037 ","$36,497 ","$54,351 ",Putnam County
Medical,"$3,955 ","$9,607 ","$9,458 ","$10,072 ","$6,997 ","$9,458 ","$10,072 ","$9,535 ","$6,997 ","$9,458 ","$10,072 ","$9,535 ",Putnam County
Housing,"$27,793 ","$32,056 ","$32,056 ","$40,000 ","$28,550 ","$32,056 ","$32,056 ","$40,000 ","$28,550 ","$32,056 ","$32,056 ","$40,000 ",Putnam County
Transportation,"$11,863 ","$13,729 ","$17,294 ","$19,899 ","$13,729 ","$17,294 ","$19,899 ","$19,876 ","$13,729 ","$17,294 ","$19,899 ","$19,876 ",Putnam County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Putnam County
Internet & Mobile,"$1,434 ","$1,434 ","$1,434 ","$1,434 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ",Putnam County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Putnam County
Required annual income after taxes,"$57,343 ","$96,225 ","$122,559 ","$159,376 ","$73,386 ","$86,973 ","$97,648 ","$107,216 ","$73,386 ","$106,010 ","$134,145 ","$161,567 ",Putnam County
Annual taxes,"$12,208 ","$19,745 ","$26,555 ","$38,841 ","$13,485 ","$14,536 ","$14,840 ","$14,861 ","$13,485 ","$18,680 ","$25,370 ","$33,420 ",Putnam County
Required annual income before taxes,"$69,551 ","$115,970 ","$149,114 ","$198,218 ","$86,871 ","$101,509 ","$112,488 ","$122,078 ","$86,871 ","$124,691 ","$159,514 ","$194,987 ",Putnam County
Food,"$4,574 ","$6,742 ","$10,113 ","$13,442 ","$8,385 ","$10,438 ","$13,443 ","$16,391 ","$8,385 ","$10,438 ","$13,443 ","$16,391 ",Queens County
Child Care,$0 ,"$18,883 ","$36,208 ","$50,356 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$18,883 ","$36,208 ","$50,356 ",Queens County
Medical,"$4,230 ","$10,433 ","$10,284 ","$10,898 ","$7,508 ","$10,284 ","$10,898 ","$10,361 ","$7,508 ","$10,284 ","$10,898 ","$10,361 ",Queens County
Housing,"$30,357 ","$35,014 ","$35,014 ","$43,691 ","$31,184 ","$35,014 ","$35,014 ","$43,691 ","$31,184 ","$35,014 ","$35,014 ","$43,691 ",Queens County
Transportation,"$6,264 ","$7,250 ","$9,132 ","$10,508 ","$7,250 ","$9,132 ","$10,508 ","$10,496 ","$7,250 ","$9,132 ","$10,508 ","$10,496 ",Queens County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Queens County
Internet & Mobile,"$1,538 ","$1,538 ","$1,538 ","$1,538 ","$2,103 ","$2,103 ","$2,103 ","$2,103 ","$2,103 ","$2,103 ","$2,103 ","$2,103 ",Queens County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Queens County
Required annual income after taxes,"$54,393 ","$93,047 ","$117,348 ","$149,749 ","$69,618 ","$82,029 ","$91,282 ","$101,405 ","$69,618 ","$100,913 ","$127,491 ","$151,762 ",Queens County
Annual taxes,"$11,281 ","$18,561 ","$24,543 ","$35,400 ","$12,520 ","$13,269 ","$13,209 ","$13,373 ","$12,520 ","$17,375 ","$22,827 ","$29,672 ",Queens County
Required annual income before taxes,"$65,674 ","$111,608 ","$141,890 ","$185,149 ","$82,138 ","$95,299 ","$104,492 ","$114,778 ","$82,138 ","$118,287 ","$150,317 ","$181,434 ",Queens County
Food,"$4,394 ","$6,477 ","$9,715 ","$12,912 ","$8,055 ","$10,027 ","$12,913 ","$15,745 ","$8,055 ","$10,027 ","$12,913 ","$15,745 ",Rensselaer County
Child Care,$0 ,"$15,794 ","$30,450 ","$43,313 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$15,794 ","$30,450 ","$43,313 ",Rensselaer County
Medical,"$3,510 ","$8,267 ","$8,119 ","$8,732 ","$6,167 ","$8,119 ","$8,732 ","$8,195 ","$6,167 ","$8,119 ","$8,732 ","$8,195 ",Rensselaer County
Housing,"$11,730 ","$15,941 ","$15,941 ","$19,271 ","$13,122 ","$15,941 ","$15,941 ","$19,271 ","$13,122 ","$15,941 ","$15,941 ","$19,271 ",Rensselaer County
Transportation,"$10,088 ","$11,674 ","$14,706 ","$16,921 ","$11,674 ","$14,706 ","$16,921 ","$16,901 ","$11,674 ","$14,706 ","$16,921 ","$16,901 ",Rensselaer County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Rensselaer County
Internet & Mobile,"$1,520 ","$1,520 ","$1,520 ","$1,520 ","$2,086 ","$2,086 ","$2,086 ","$2,086 ","$2,086 ","$2,086 ","$2,086 ","$2,086 ",Rensselaer County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Rensselaer County
Required annual income after taxes,"$38,672 ","$72,861 ","$95,509 ","$121,986 ","$54,292 ","$65,936 ","$75,910 ","$80,562 ","$54,292 ","$81,730 ","$106,361 ","$123,875 ",Rensselaer County
Annual taxes,"$7,253 ","$11,585 ","$16,315 ","$24,040 ","$8,601 ","$9,146 ","$9,271 ","$8,033 ","$8,601 ","$12,460 ","$15,607 ","$19,014 ",Rensselaer County
Required annual income before taxes,"$45,924 ","$84,446 ","$111,824 ","$146,025 ","$62,893 ","$75,082 ","$85,181 ","$88,595 ","$62,893 ","$94,189 ","$121,968 ","$142,889 ",Rensselaer County
Food,"$4,574 ","$6,742 ","$10,113 ","$13,442 ","$8,385 ","$10,438 ","$13,443 ","$16,391 ","$8,385 ","$10,438 ","$13,443 ","$16,391 ",Richmond County
Child Care,$0 ,"$19,506 ","$37,402 ","$52,016 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$19,506 ","$37,402 ","$52,016 ",Richmond County
Medical,"$4,230 ","$10,433 ","$10,284 ","$10,898 ","$7,508 ","$10,284 ","$10,898 ","$10,361 ","$7,508 ","$10,284 ","$10,898 ","$10,361 ",Richmond County
Housing,"$26,330 ","$30,369 ","$30,369 ","$37,895 ","$27,047 ","$30,369 ","$30,369 ","$37,895 ","$27,047 ","$30,369 ","$30,369 ","$37,895 ",Richmond County
Transportation,"$9,279 ","$10,738 ","$13,527 ","$15,564 ","$10,738 ","$13,527 ","$15,564 ","$15,546 ","$10,738 ","$13,527 ","$15,564 ","$15,546 ",Richmond County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Richmond County
Internet & Mobile,"$1,370 ","$1,370 ","$1,370 ","$1,370 ","$1,935 ","$1,935 ","$1,935 ","$1,935 ","$1,935 ","$1,935 ","$1,935 ","$1,935 ",Richmond County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Richmond County
Required annual income after taxes,"$53,213 ","$92,346 ","$118,123 ","$150,501 ","$68,802 ","$81,611 ","$91,526 ","$100,492 ","$68,802 ","$101,117 ","$128,928 ","$152,508 ",Richmond County
Annual taxes,"$10,978 ","$18,299 ","$24,834 ","$35,697 ","$12,311 ","$13,162 ","$13,272 ","$13,139 ","$12,311 ","$17,427 ","$23,376 ","$29,958 ",Richmond County
Required annual income before taxes,"$64,191 ","$110,645 ","$142,957 ","$186,198 ","$81,112 ","$94,773 ","$104,798 ","$113,631 ","$81,112 ","$118,544 ","$152,304 ","$182,466 ",Richmond County
Food,"$4,416 ","$6,510 ","$9,764 ","$12,978 ","$8,096 ","$10,078 ","$12,980 ","$15,825 ","$8,096 ","$10,078 ","$12,980 ","$15,825 ",Rockland County
Child Care,$0 ,"$20,883 ","$40,037 ","$59,623 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$20,883 ","$40,037 ","$59,623 ",Rockland County
Medical,"$4,230 ","$10,433 ","$10,284 ","$10,898 ","$7,508 ","$10,284 ","$10,898 ","$10,361 ","$7,508 ","$10,284 ","$10,898 ","$10,361 ",Rockland County
Housing,"$28,845 ","$33,270 ","$33,270 ","$41,514 ","$29,631 ","$33,270 ","$33,270 ","$41,514 ","$29,631 ","$33,270 ","$33,270 ","$41,514 ",Rockland County
Transportation,"$9,971 ","$11,539 ","$14,536 ","$16,725 ","$11,539 ","$14,536 ","$16,725 ","$16,706 ","$11,539 ","$14,536 ","$16,725 ","$16,706 ",Rockland County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Rockland County
Internet & Mobile,"$1,262 ","$1,262 ","$1,262 ","$1,262 ","$1,827 ","$1,827 ","$1,827 ","$1,827 ","$1,827 ","$1,827 ","$1,827 ","$1,827 ",Rockland County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Rockland County
Required annual income after taxes,"$56,154 ","$97,084 ","$124,211 ","$162,317 ","$71,789 ","$85,053 ","$95,016 ","$104,598 ","$71,789 ","$105,936 ","$135,053 ","$164,221 ",Rockland County
Annual taxes,"$11,785 ","$20,065 ","$27,201 ","$39,820 ","$13,076 ","$14,044 ","$14,166 ","$14,191 ","$13,076 ","$18,662 ","$25,717 ","$34,434 ",Rockland County
Required annual income before taxes,"$67,939 ","$117,150 ","$151,412 ","$202,137 ","$84,865 ","$99,097 ","$109,182 ","$118,789 ","$84,865 ","$124,598 ","$160,770 ","$198,655 ",Rockland County
Food,"$4,675 ","$6,892 ","$10,337 ","$13,740 ","$8,571 ","$10,669 ","$13,741 ","$16,754 ","$8,571 ","$10,669 ","$13,741 ","$16,754 ",Saratoga County
Child Care,$0 ,"$15,854 ","$30,811 ","$44,572 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$15,854 ","$30,811 ","$44,572 ",Saratoga County
Medical,"$3,510 ","$8,267 ","$8,119 ","$8,732 ","$6,167 ","$8,119 ","$8,732 ","$8,195 ","$6,167 ","$8,119 ","$8,732 ","$8,195 ",Saratoga County
Housing,"$13,416 ","$18,232 ","$18,232 ","$22,041 ","$15,008 ","$18,232 ","$18,232 ","$22,041 ","$15,008 ","$18,232 ","$18,232 ","$22,041 ",Saratoga County
Transportation,"$10,784 ","$12,480 ","$15,720 ","$18,088 ","$12,480 ","$15,720 ","$18,088 ","$18,067 ","$12,480 ","$15,720 ","$18,088 ","$18,067 ",Saratoga County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Saratoga County
Internet & Mobile,"$1,520 ","$1,520 ","$1,520 ","$1,520 ","$2,086 ","$2,086 ","$2,086 ","$2,086 ","$2,086 ","$2,086 ","$2,086 ","$2,086 ",Saratoga County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Saratoga County
Required annual income after taxes,"$41,335 ","$76,433 ","$99,798 ","$128,009 ","$57,500 ","$69,884 ","$80,196 ","$85,507 ","$57,500 ","$85,739 ","$111,007 ","$130,079 ",Saratoga County
Annual taxes,"$7,935 ","$12,500 ","$17,914 ","$26,493 ","$9,420 ","$10,158 ","$10,369 ","$9,300 ","$9,420 ","$13,487 ","$16,798 ","$21,385 ",Saratoga County
Required annual income before taxes,"$49,270 ","$88,933 ","$117,712 ","$154,503 ","$66,920 ","$80,042 ","$90,566 ","$94,807 ","$66,920 ","$99,225 ","$127,805 ","$151,464 ",Saratoga County
Food,"$4,315 ","$6,360 ","$9,540 ","$12,680 ","$7,910 ","$9,847 ","$12,682 ","$15,462 ","$7,910 ","$9,847 ","$12,682 ","$15,462 ",Schenectady County
Child Care,$0 ,"$16,097 ","$31,035 ","$44,144 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$16,097 ","$31,035 ","$44,144 ",Schenectady County
Medical,"$3,510 ","$8,267 ","$8,119 ","$8,732 ","$6,167 ","$8,119 ","$8,732 ","$8,195 ","$6,167 ","$8,119 ","$8,732 ","$8,195 ",Schenectady County
Housing,"$11,226 ","$15,257 ","$15,257 ","$18,443 ","$12,558 ","$15,257 ","$15,257 ","$18,443 ","$12,558 ","$15,257 ","$15,257 ","$18,443 ",Schenectady County
Transportation,"$10,002 ","$11,576 ","$14,581 ","$16,778 ","$11,576 ","$14,581 ","$16,778 ","$16,758 ","$11,576 ","$14,581 ","$16,778 ","$16,758 ",Schenectady County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Schenectady County
Internet & Mobile,"$1,521 ","$1,521 ","$1,521 ","$1,521 ","$2,086 ","$2,086 ","$2,086 ","$2,086 ","$2,086 ","$2,086 ","$2,086 ","$2,086 ",Schenectady County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Schenectady County
Required annual income after taxes,"$38,004 ","$72,264 ","$95,110 ","$121,615 ","$53,485 ","$64,947 ","$74,851 ","$79,309 ","$53,485 ","$81,044 ","$105,886 ","$123,453 ",Schenectady County
Annual taxes,"$7,082 ","$11,432 ","$16,167 ","$23,889 ","$8,395 ","$8,894 ","$9,000 ","$7,712 ","$8,395 ","$12,284 ","$15,486 ","$18,853 ",Schenectady County
Required annual income before taxes,"$45,086 ","$83,697 ","$111,277 ","$145,504 ","$61,880 ","$73,841 ","$83,850 ","$87,021 ","$61,880 ","$93,328 ","$121,372 ","$142,307 ",Schenectady County
Food,"$3,875 ","$5,713 ","$8,569 ","$11,389 ","$7,105 ","$8,844 ","$11,390 ","$13,888 ","$7,105 ","$8,844 ","$11,390 ","$13,888 ",Schoharie County
Child Care,$0 ,"$11,696 ","$22,768 ","$32,988 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$11,696 ","$22,768 ","$32,988 ",Schoharie County
Medical,"$3,510 ","$8,267 ","$8,119 ","$8,732 ","$6,167 ","$8,119 ","$8,732 ","$8,195 ","$6,167 ","$8,119 ","$8,732 ","$8,195 ",Schoharie County
Housing,"$9,077 ","$12,337 ","$12,337 ","$14,913 ","$10,155 ","$12,337 ","$12,337 ","$14,913 ","$10,155 ","$12,337 ","$12,337 ","$14,913 ",Schoharie County
Transportation,"$11,771 ","$13,622 ","$17,159 ","$19,744 ","$13,622 ","$17,159 ","$19,744 ","$19,721 ","$13,622 ","$17,159 ","$19,744 ","$19,721 ",Schoharie County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Schoharie County
Internet & Mobile,"$1,570 ","$1,570 ","$1,570 ","$1,570 ","$2,135 ","$2,135 ","$2,135 ","$2,135 ","$2,135 ","$2,135 ","$2,135 ","$2,135 ",Schoharie County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Schoharie County
Required annual income after taxes,"$37,233 ","$66,392 ","$85,579 ","$108,653 ","$52,372 ","$63,652 ","$73,655 ","$77,217 ","$52,372 ","$75,348 ","$96,423 ","$110,205 ",Schoharie County
Annual taxes,"$6,884 ","$9,754 ","$12,614 ","$18,784 ","$8,110 ","$8,563 ","$8,693 ","$7,176 ","$8,110 ","$10,825 ","$13,061 ","$14,162 ",Schoharie County
Required annual income before taxes,"$44,118 ","$76,145 ","$98,193 ","$127,437 ","$60,482 ","$72,214 ","$82,348 ","$84,392 ","$60,482 ","$86,173 ","$109,484 ","$124,367 ",Schoharie County
Food,"$4,180 ","$6,161 ","$9,241 ","$12,283 ","$7,663 ","$9,538 ","$12,284 ","$14,978 ","$7,663 ","$9,538 ","$12,284 ","$14,978 ",Schuyler County
Child Care,$0 ,"$11,696 ","$22,768 ","$32,988 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$11,696 ","$22,768 ","$32,988 ",Schuyler County
Medical,"$3,566 ","$8,436 ","$8,288 ","$8,901 ","$6,272 ","$8,288 ","$8,901 ","$8,364 ","$6,272 ","$8,288 ","$8,901 ","$8,364 ",Schuyler County
Housing,"$7,684 ","$11,338 ","$11,338 ","$15,331 ","$8,926 ","$11,338 ","$11,338 ","$15,331 ","$8,926 ","$11,338 ","$11,338 ","$15,331 ",Schuyler County
Transportation,"$10,911 ","$12,627 ","$15,905 ","$18,301 ","$12,627 ","$15,905 ","$18,301 ","$18,280 ","$12,627 ","$15,905 ","$18,301 ","$18,280 ",Schuyler County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Schuyler County
Internet & Mobile,"$1,417 ","$1,417 ","$1,417 ","$1,417 ","$1,982 ","$1,982 ","$1,982 ","$1,982 ","$1,982 ","$1,982 ","$1,982 ","$1,982 ",Schuyler County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Schuyler County
Required annual income after taxes,"$35,187 ","$64,863 ","$84,016 ","$108,538 ","$50,657 ","$62,110 ","$72,124 ","$77,300 ","$50,657 ","$73,806 ","$94,892 ","$110,288 ",Schuyler County
Annual taxes,"$6,360 ","$9,313 ","$12,032 ","$18,741 ","$7,672 ","$8,169 ","$8,301 ","$7,197 ","$7,672 ","$10,430 ","$12,669 ","$14,183 ",Schuyler County
Required annual income before taxes,"$41,547 ","$74,176 ","$96,047 ","$127,279 ","$58,329 ","$70,279 ","$80,425 ","$84,496 ","$58,329 ","$84,236 ","$107,561 ","$124,471 ",Schuyler County
Food,"$3,909 ","$5,763 ","$8,643 ","$11,488 ","$7,167 ","$8,921 ","$11,490 ","$14,009 ","$7,167 ","$8,921 ","$11,490 ","$14,009 ",Seneca County
Child Care,$0 ,"$11,696 ","$22,768 ","$32,988 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$11,696 ","$22,768 ","$32,988 ",Seneca County
Medical,"$3,326 ","$7,714 ","$7,565 ","$8,178 ","$5,825 ","$7,565 ","$8,178 ","$7,642 ","$5,825 ","$7,565 ","$8,178 ","$7,642 ",Seneca County
Housing,"$9,227 ","$11,954 ","$11,954 ","$15,645 ","$9,288 ","$11,954 ","$11,954 ","$15,645 ","$9,288 ","$11,954 ","$11,954 ","$15,645 ",Seneca County
Transportation,"$10,528 ","$12,184 ","$15,348 ","$17,660 ","$12,184 ","$15,348 ","$17,660 ","$17,639 ","$12,184 ","$15,348 ","$17,660 ","$17,639 ",Seneca County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Seneca County
Internet & Mobile,"$1,538 ","$1,538 ","$1,538 ","$1,538 ","$2,103 ","$2,103 ","$2,103 ","$2,103 ","$2,103 ","$2,103 ","$2,103 ","$2,103 ",Seneca County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Seneca County
Required annual income after taxes,"$35,959 ","$64,035 ","$82,874 ","$106,814 ","$49,754 ","$60,949 ","$70,701 ","$75,402 ","$49,754 ","$72,645 ","$93,469 ","$108,390 ",Seneca County
Annual taxes,"$6,558 ","$9,075 ","$11,606 ","$18,098 ","$7,441 ","$7,872 ","$7,937 ","$6,711 ","$7,441 ","$10,132 ","$12,305 ","$13,697 ",Seneca County
Required annual income before taxes,"$42,516 ","$73,110 ","$94,480 ","$124,912 ","$57,195 ","$68,821 ","$78,638 ","$82,112 ","$57,195 ","$82,777 ","$105,774 ","$122,087 ",Seneca County
Food,"$4,202 ","$6,194 ","$9,291 ","$12,349 ","$7,704 ","$9,590 ","$12,350 ","$15,058 ","$7,704 ","$9,590 ","$12,350 ","$15,058 ",Steuben County
Child Care,$0 ,"$12,731 ","$24,781 ","$35,905 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$12,731 ","$24,781 ","$35,905 ",Steuben County
Medical,"$3,566 ","$8,436 ","$8,288 ","$8,901 ","$6,272 ","$8,288 ","$8,901 ","$8,364 ","$6,272 ","$8,288 ","$8,901 ","$8,364 ",Steuben County
Housing,"$8,962 ","$10,916 ","$10,916 ","$14,076 ","$9,155 ","$10,916 ","$10,916 ","$14,076 ","$9,155 ","$10,916 ","$10,916 ","$14,076 ",Steuben County
Transportation,"$10,333 ","$11,958 ","$15,063 ","$17,332 ","$11,958 ","$15,063 ","$17,332 ","$17,312 ","$11,958 ","$15,063 ","$17,332 ","$17,312 ",Steuben County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Steuben County
Internet & Mobile,"$1,417 ","$1,417 ","$1,417 ","$1,417 ","$1,982 ","$1,982 ","$1,982 ","$1,982 ","$1,982 ","$1,982 ","$1,982 ","$1,982 ",Steuben County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Steuben County
Required annual income after taxes,"$35,911 ","$64,840 ","$84,814 ","$109,297 ","$50,259 ","$60,897 ","$70,799 ","$75,158 ","$50,259 ","$73,627 ","$95,580 ","$111,062 ",Steuben County
Annual taxes,"$6,545 ","$9,307 ","$12,329 ","$19,024 ","$7,570 ","$7,859 ","$7,962 ","$6,648 ","$7,570 ","$10,384 ","$12,846 ","$14,382 ",Steuben County
Required annual income before taxes,"$42,456 ","$74,146 ","$97,143 ","$128,321 ","$57,829 ","$68,756 ","$78,761 ","$81,806 ","$57,829 ","$84,011 ","$108,426 ","$125,444 ",Steuben County
Food,"$4,168 ","$6,145 ","$9,216 ","$12,250 ","$7,642 ","$9,512 ","$12,251 ","$14,937 ","$7,642 ","$9,512 ","$12,251 ","$14,937 ",St. Lawrence County
Child Care,$0 ,"$13,081 ","$25,464 ","$36,894 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$13,081 ","$25,464 ","$36,894 ",St. Lawrence County
Medical,"$3,514 ","$8,280 ","$8,132 ","$8,745 ","$6,176 ","$8,132 ","$8,745 ","$8,208 ","$6,176 ","$8,132 ","$8,745 ","$8,208 ",St. Lawrence County
Housing,"$7,973 ","$11,338 ","$11,338 ","$13,896 ","$9,203 ","$11,338 ","$11,338 ","$13,896 ","$9,203 ","$11,338 ","$11,338 ","$13,896 ",St. Lawrence County
Transportation,"$10,554 ","$12,214 ","$15,386 ","$17,703 ","$12,214 ","$15,386 ","$17,703 ","$17,683 ","$12,214 ","$15,386 ","$17,703 ","$17,683 ",St. Lawrence County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",St. Lawrence County
Internet & Mobile,"$1,502 ","$1,502 ","$1,502 ","$1,502 ","$2,067 ","$2,067 ","$2,067 ","$2,067 ","$2,067 ","$2,067 ","$2,067 ","$2,067 ",St. Lawrence County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",St. Lawrence County
Required annual income after taxes,"$35,142 ","$65,748 ","$86,096 ","$110,306 ","$50,490 ","$61,493 ","$71,422 ","$75,155 ","$50,490 ","$74,575 ","$96,886 ","$112,050 ",St. Lawrence County
Annual taxes,"$6,348 ","$9,568 ","$12,807 ","$19,409 ","$7,629 ","$8,011 ","$8,121 ","$6,647 ","$7,629 ","$10,627 ","$13,180 ","$14,715 ",St. Lawrence County
Required annual income before taxes,"$41,490 ","$75,316 ","$98,903 ","$129,716 ","$58,119 ","$69,505 ","$79,543 ","$81,803 ","$58,119 ","$85,201 ","$110,065 ","$126,764 ",St. Lawrence County
Food,"$4,754 ","$7,008 ","$10,512 ","$13,971 ","$8,716 ","$10,849 ","$13,973 ","$17,037 ","$8,716 ","$10,849 ","$13,973 ","$17,037 ",Suffolk County
Child Care,$0 ,"$20,442 ","$39,190 ","$58,361 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$20,442 ","$39,190 ","$58,361 ",Suffolk County
Medical,"$4,099 ","$10,039 ","$9,891 ","$10,504 ","$7,264 ","$9,891 ","$10,504 ","$9,967 ","$7,264 ","$9,891 ","$10,504 ","$9,967 ",Suffolk County
Housing,"$20,519 ","$30,130 ","$30,130 ","$38,996 ","$25,757 ","$30,130 ","$30,130 ","$38,996 ","$25,757 ","$30,130 ","$30,130 ","$38,996 ",Suffolk County
Transportation,"$11,181 ","$12,940 ","$16,299 ","$18,755 ","$12,940 ","$16,299 ","$18,755 ","$18,733 ","$12,940 ","$16,299 ","$18,755 ","$18,733 ",Suffolk County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Suffolk County
Internet & Mobile,"$1,541 ","$1,541 ","$1,541 ","$1,541 ","$2,106 ","$2,106 ","$2,106 ","$2,106 ","$2,106 ","$2,106 ","$2,106 ","$2,106 ",Suffolk County
